collapse_id,goaf_id,collapse_number,collapse_area,collapse_area_unit,formation_time_start,formation_time_end,location,surface_cracks,building_damage,cause,impact,treatment_status,remarks
HX001-COL001,"HX001-G007,HX001-G017,HX001-G024",塌陷区1,,,,,井田内,有,无,各煤层导水裂隙带发育至上层-层间距较薄-裂隙发育,出现塌陷坑,未治理,4-2、4-3和5-2综采采空区上覆的3-1煤房柱式采空区、4-2煤房柱式均随着综采采空区的回采而垮塌-坐标拐点见表4-1-11
HX001-COL002,"HX001-G007,HX001-G017,HX001-G024",塌陷区2,,,,,井田内,有,无,各煤层导水裂隙带发育至上层-层间距较薄-裂隙发育,出现塌陷坑,未治理,4-2、4-3和5-2综采采空区上覆的3-1煤房柱式采空区、4-2煤房柱式均随着综采采空区的回采而垮塌-坐标拐点见表4-1-11
HX001-COL003,"HX001-G007,HX001-G017,HX001-G024",塌陷区3,,,,,井田内,有,无,各煤层导水裂隙带发育至上层-层间距较薄-裂隙发育,出现塌陷坑,未治理,4-2、4-3和5-2综采采空区上覆的3-1煤房柱式采空区、4-2煤房柱式均随着综采采空区的回采而垮塌-坐标拐点见表4-1-11

