water_id,goaf_id,water_number,water_type,water_area,water_level,water_volume,water_volume_unit,water_quality,detection_method,reliability,verification_status,verification_result,survey_report,survey_date,remarks
HX001-W001,HX001-G005,B3-1,采空区积水,￥675￥,,￥666￥,m³,,瞬变电磁法,推断,未验证,,地面瞬变电磁探查,2024年￥13￥月,3-1煤层采空积水区-圈定￥64￥个低阻异常区-推断为采空积水区-2014年突水事故时稳定涌水量117m³/h-最大突水量671m³/h
HX001-W002,HX001-G007,B4-1,采空区积水,￥663￥,,￥648￥,m³,,,瞬变电磁法,推断,未验证,,地面瞬变电磁探查,2024年￥13￥月,4-2煤层局部采空积水区-推断为采空积水区
HX001-W003,HX001-G007,B4-2,采空区积水,￥662￥,,￥647￥,m³,,,瞬变电磁法,推断,未验证,,地面瞬变电磁探查,2024年￥13￥月,4-2煤层局部采空积水区-推断为采空积水区
HX001-W004,HX001-G007,42-YC1,空巷积水,,,,,,,瞬变电磁法,,已验证,钻探疏放已消除,山东省煤田地质局第五勘探队-神木市孙家岔镇河西联办煤矿有限公司4-2、4-3、5-2煤层地面瞬变电磁勘探成果报告,￥17￥年￥54￥月,A-YC1物探异常区-空巷积水-已疏放
HX001-W005,HX001-G007,42-YC2,空巷积水,,,,,,,瞬变电磁法,,已验证,钻探疏放已消除,山东省煤田地质局第五勘探队-神木市孙家岔镇河西联办煤矿有限公司4-2、4-3、5-2煤层地面瞬变电磁勘探成果报告,￥17￥年￥54￥月,A-YC2物探异常区-空巷积水-已疏放
HX001-W006,HX001-G017,43-Ⅰ,采空区积水,￥634￥,￥632￥,￥633￥,m³,,,,未验证,,矿方充水性图,￥18￥年￥53￥月,4-3煤积水区Ⅰ-积水标高￥632￥m
HX001-W007,HX001-G017,43-Ⅱ,采空区积水,￥631￥,￥629￥,￥630￥,m³,,,,未验证,,矿方充水性图,￥18￥年￥53￥月,4-3煤积水区Ⅱ-积水标高￥629￥m
HX001-W008,HX001-G017,43-Ⅲ,采空区积水,￥628￥,￥626￥,￥627￥,m³,,,,未验证,,矿方充水性图,￥18￥年￥53￥月,4-3煤积水区Ⅲ-积水标高￥626￥m
HX001-W009,HX001-G017,43-Ⅳ,采空区积水,￥625￥,￥623￥,￥624￥,m³,,,,未验证,,矿方充水性图,￥18￥年￥53￥月,4-3煤积水区Ⅳ-积水标高￥623￥m
HX001-W010,HX001-G020,43-Ⅴ,采空区积水,￥622￥,￥620￥,￥640￥,m³,,,,未验证,,矿方充水性图,￥18￥年￥53￥月,4-3煤积水区Ⅴ-积水标高￥620￥m
HX001-W011,HX001-G017,43-YC3,空巷积水,,,,,,,瞬变电磁法,,已验证,钻探疏放已消除,山东省煤田地质局第五勘探队-神木市孙家岔镇河西联办煤矿有限公司4-2、4-3、5-2煤层地面瞬变电磁勘探成果报告,￥17￥年￥54￥月,B-YC3物探异常区-空巷积水-已疏放
HX001-W012,HX001-G017,43-DZ1~8,采空区积水,￥636￥,,,,,,,瞬变电磁法,,已验证,施工￥213￥个钻孔疏放￥635￥万m³,地面瞬变电磁物探成果报告,2022年￥53￥月,4-3煤采空区附近圈定￥53￥个低阻异常区-包括4-3煤采空区积水和5-2煤顶板砂岩水
HX001-W013,HX001-G024,52-DZ3,采空区积水,,,,,,,瞬变电磁法,,已验证,疏放水已完成,地面瞬变电磁物探成果报告,2022年￥53￥月,5-2煤层采空积水区-￥26￥综采工作面探放水-最初涌水量51-23m³/h-后减少为52-56m³/h
HX001-W014,HX001-G024,52-DZ1等,顶板砂岩水,￥608￥,,,,,,,瞬变电磁法,,已验证,疏放水已完成,地面瞬变电磁物探成果报告,2022年￥53￥月,5-2煤层顶板砂岩含水层局部富水异常-圈定￥21￥个低阻异常区
YWH001-W001,YWH001-G001,1,采空区积水,,,,,少量,,,,,,
YWH001-W002,YWH001-G002,1,采空区积水,￥12￥,1000.7-1001.2,￥15￥,m³,合格,钻探疏放,可靠,已验证,涌水量稳定,,￥125￥年￥21￥月,阴湾煤矿￥16￥综采工作面-河西联办已施工￥9￥个钻孔探放水-矿井正常涌水量19-131m³/h-最大涌水量130m³/h
YWH001-W003,YWH001-G002,2,采空区积水,￥11￥,994.7-995.5,￥14￥,m³,合格,钻探疏放,可靠,已验证,涌水量稳定,,￥125￥年￥21￥月,阴湾煤矿￥16￥综采工作面-河西联办已施工￥9￥个钻孔探放水-矿井正常涌水量19-131m³/h-最大涌水量130m³/h

